,dataset,model,kappa,metric,param.,value,ABC,CI
117,CIFAR2,resnet,SR,FN,N,0.25,0.004937578118813456,"[np.float64(-0.00012098033040910602), np.float64(0.009996136568036018)]"
118,CIFAR2,resnet,SR,FPR,N,0.25,0.0025941823231758797,"[np.float64(0.0003188841130434914), np.float64(0.004869480533308268)]"
119,CIFAR2,resnet,SR,FNR,N,0.25,0.19457839819602543,"[np.float64(0.1075251529619859), np.float64(0.28163164343006497)]"
120,CIFAR2,resnet,SR,standard,imbalance,0.75,0.01909825807399102,"[np.float64(0.008469434329304118), np.float64(0.029727081818677926)]"
121,CIFAR2,resnet,SR,FP,imbalance,0.75,0.003858156014065571,"[np.float64(0.002418069002323099), np.float64(0.0052982430258080426)]"
122,CIFAR2,resnet,SR,FN,imbalance,0.75,0.018843005769170532,"[np.float64(0.00840756913914686), np.float64(0.029278442399194204)]"
123,CIFAR2,resnet,SR,FPR,imbalance,0.75,0.019032982866307023,"[np.float64(0.01307898840434195), np.float64(0.024986977328272097)]"
124,CIFAR2,resnet,SR,FNR,imbalance,0.75,0.038128954778611474,"[np.float64(0.023175865277281826), np.float64(0.05308204427994112)]"
125,CIFAR2,resnet,SR,standard,imbalance,0.5,0.01174058977524509,"[np.float64(0.005995201678777088), np.float64(0.01748597787171309)]"
126,CIFAR2,resnet,SR,FP,imbalance,0.5,0.0022386425986839088,"[np.float64(0.0012904517127228338), np.float64(0.003186833484644984)]"
127,CIFAR2,resnet,SR,FN,imbalance,0.5,0.011976011750101146,"[np.float64(0.006261174723068975), np.float64(0.017690848777133318)]"
128,CIFAR2,resnet,SR,FPR,imbalance,0.5,0.0048800469873452,"[np.float64(0.00296505405055144), np.float64(0.006795039924138961)]"
129,CIFAR2,resnet,SR,FNR,imbalance,0.5,0.040351850574814004,"[np.float64(0.029995911776081196), np.float64(0.05070778937354681)]"
130,CIFAR2,resnet,SR,standard,imbalance,0.25,0.006199813443358199,"[np.float64(0.002374190913134216), np.float64(0.010025435973582183)]"
131,CIFAR2,resnet,SR,FP,imbalance,0.25,0.0017871077757817514,"[np.float64(0.0007773334036952689), np.float64(0.002796882147868234)]"
132,CIFAR2,resnet,SR,FN,imbalance,0.25,0.00607386623653961,"[np.float64(0.0025911829419935765), np.float64(0.009556549531085643)]"
133,CIFAR2,resnet,SR,FPR,imbalance,0.25,0.002503498474099826,"[np.float64(0.00111960912094703), np.float64(0.0038873878272526223)]"
134,CIFAR2,resnet,SR,FNR,imbalance,0.25,0.04892213829226334,"[np.float64(0.0393205731344605), np.float64(0.05852370345006618)]"
135,CIFAR2,resnet,SR,standard,delta,0.001,0.0025084590410903657,"[np.float64(0.0002858894398160192), np.float64(0.004731028642364712)]"
136,CIFAR2,resnet,SR,FP,delta,0.001,0.0010669572093119722,"[np.float64(0.0003567978548723983), np.float64(0.001777116563751546)]"
137,CIFAR2,resnet,SR,FN,delta,0.001,0.002353322392931903,"[np.float64(0.00018341930517652488), np.float64(0.00452322548068728)]"
138,CIFAR2,resnet,SR,FPR,delta,0.001,0.0012379704664073573,"[np.float64(0.0004464401911432658), np.float64(0.0020295007416714487)]"
139,CIFAR2,resnet,SR,FNR,delta,0.001,0.062778609815863,"[np.float64(0.04061808520937065), np.float64(0.08493913442235534)]"
140,CIFAR2,resnet,SR,standard,delta,0.01,0.0018793524476587327,"[np.float64(-0.00023881268747237235), np.float64(0.003997517582789838)]"
141,CIFAR2,resnet,SR,FP,delta,0.01,0.000807942203889688,"[np.float64(0.00020279594339385162), np.float64(0.0014130884643855242)]"
142,CIFAR2,resnet,SR,FN,delta,0.01,0.0018119663607173795,"[np.float64(-9.049285332095617e-05), np.float64(0.003714425574755715)]"
143,CIFAR2,resnet,SR,FPR,delta,0.01,0.0009310768501153406,"[np.float64(0.00023851837587017023), np.float64(0.0016236353243605111)]"
144,CIFAR2,resnet,SR,FNR,delta,0.01,0.04665342178917324,"[np.float64(0.025220292179836103), np.float64(0.06808655139851039)]"
145,CIFAR2,resnet,SR,standard,delta,0.1,0.0012233190028359642,"[np.float64(-0.00041780336425102), np.float64(0.0028644413699229483)]"
146,CIFAR2,resnet,SR,FP,delta,0.1,0.0005003147731683871,"[np.float64(1.731055941320346e-05), np.float64(0.0009833189869235708)]"
147,CIFAR2,resnet,SR,FN,delta,0.1,0.0012347802970689161,"[np.float64(-0.0001631215507961832), np.float64(0.002632682144934015)]"
148,CIFAR2,resnet,SR,FPR,delta,0.1,0.0005751056500574708,"[np.float64(3.270903837343335e-05), np.float64(0.001117502261741508)]"
149,CIFAR2,resnet,SR,FNR,delta,0.1,0.02787588034756666,"[np.float64(0.007355205388153301), np.float64(0.04839655530698002)]"
150,WSI,cnn,SR,standard,N,1.0,0.011974252027004025,"[np.float64(0.002095252516631268), np.float64(0.021853251537376783)]"
151,WSI,cnn,SR,FP,N,1.0,0.010110853384184602,"[np.float64(0.0023911683785821387), np.float64(0.017830538389787064)]"
152,WSI,cnn,SR,FN,N,1.0,0.007273221624964592,"[np.float64(0.0026994038565870335), np.float64(0.01184703939334215)]"
153,WSI,cnn,SR,FPR,N,1.0,0.021900727073729545,"[np.float64(0.010003189989658651), np.float64(0.03379826415780044)]"
154,WSI,cnn,SR,FNR,N,1.0,0.03127440823947439,"[np.float64(0.018021216497899492), np.float64(0.044527599981049285)]"
155,WSI,cnn,SR,standard,N,0.75,0.010310536979873304,"[np.float64(-0.0005294462274599582), np.float64(0.02115052018720657)]"
156,WSI,cnn,SR,FP,N,0.75,0.00938388963734135,"[np.float64(0.0008394450417217088), np.float64(0.017928334232960988)]"
